model,n,layers,kv_heads,head_dim,bytes_per_elem,bytes_per_token,kv_mb,kv_mib,config
LLaVA-1.5 (Vicuna-7B),576,32,32,128,2,524288,302.0,288.0,/var/scratch/skalra/.cache/huggingface/hub/models--lmsys--vicuna-7b-v1.5/snapshots/3321f76e3f527bd14065daf69dad9344000a201d/config.json
"TinyLLaVA (Phi-2, SigLIP)",576,32,32,80,2,327680,188.7,180.0,/var/scratch/skalra/.cache/huggingface/hub/models--microsoft--phi-2/snapshots/810d367871c1d460086d9f82db8696f2e0a0fcd0/config.json
Ours (TinyLlama-1.1B),576,22,4,64,2,22528,13.0,12.4,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-tinyllama-v8-parcel/config.json
Ours (TinyLlama-1.1B),256,22,4,64,2,22528,5.8,5.5,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-tinyllama-v8-parcel/config.json
Ours (TinyLlama-1.1B),144,22,4,64,2,22528,3.2,3.1,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-tinyllama-v8-parcel/config.json
Ours (TinyLlama-1.1B),64,22,4,64,2,22528,1.4,1.4,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-tinyllama-v8-parcel/config.json
Ours (TinyLlama-1.1B),16,22,4,64,2,22528,0.4,0.3,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-tinyllama-v8-parcel/config.json
Ours (SmolLM2-1.7B),576,24,32,64,2,196608,113.2,108.0,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-smollm2-v11-parcel-nolora/config.json
Ours (SmolLM2-1.7B),256,24,32,64,2,196608,50.3,48.0,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-smollm2-v11-parcel-nolora/config.json
Ours (SmolLM2-1.7B),144,24,32,64,2,196608,28.3,27.0,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-smollm2-v11-parcel-nolora/config.json
Ours (SmolLM2-1.7B),64,24,32,64,2,196608,12.6,12.0,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-smollm2-v11-parcel-nolora/config.json
Ours (SmolLM2-1.7B),16,24,32,64,2,196608,3.1,3.0,/var/scratch/skalra/flexllava/checkpoints/elastic-finetune-smollm2-v11-parcel-nolora/config.json
